# basis_Q=x basis_A=x n_shots=256
# q_outcome a_outcome
-1 -1
1 1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
1 1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
1 1
-1 -1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
1 1
1 1
-1 -1
1 1
-1 -1
1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
-1 -1
1 1
1 1
1 1
-1 -1
